# Summary
file	blocks	japanese_runs
ADV.DAT	0x1DEBC0	204	聽聽 | 樔萪 | 拮湶 | 羝卿翩 | 粧槹
ADV.DAT	0x1E1580	204	蒿蒿 | 銕盧 | 牀懷袗 | 杲髜 | 冏湃瑯
ADV.DAT	0x1E3F70	180	粐粐 | 槫袵 | 徑榴 | 袰唔 | 佃槧
ADV.DAT	0x1E6950	203	蒿蒿 | 榜跛 | 伜衲欸 | 叺魵 | 貌墸
ADV.DAT	0x1E9390	183	給給鞠 | 粢裹裨鴉 | 汯洄 | 鱧裨鴉 | 毖袤
ADV.DAT	0x1EBD60	228	試試暫 | 珥珥珥珥珈 | 珞葆 | 珥鞋 | 珞陦
ADV.DAT	0x1EE780	191	血血憩 | 粫跏跛 | 睛粕 | 矣跏 | 棍否
ADV.DAT	0x1F1170	163	血血血 | 澵淲粐粨韋 | 猊鋳 | 琲粐韋 | 韲籖
ADV.DAT	0x1F3BA0	152	試試四 | 趾蒿蓐 | 髙顥 | 蒿蒿蓖 | 鰉翁
ADV.DAT	0x1F6550	228	試試暫 | 珥珥珥珥珈 | 珞葆 | 珥鞋 | 珞陦
ADV.DAT	0x1F8F70	188	滑滑拡 | 澵萬 | 裝蒿蓐炅 | 磊靕 | 砌蓖
ADV.DAT	0x1FB920	164	沂給給 | 鵰籬 | 裘粐韋韋 | 琲粐韋韶 | 韶籬
ADV.DAT	0x1FE300	129	舞曙潔モ | 阜級掩ャ | ユ演焔 | 血掩ユモ | ユム掩焔旧荘
ADV.DAT	0x1FFDC0	82	怨モ | ュ疫 | ャ虚 | ャャュ怨 | 怨ル峅
ADV.DAT	0x201920	101	悋惧惧惧惧恟 | 沺泝屁尨屁帽 | 沺沺屁屁屁沁 | 沺沺屁屁屬 | 沺沺沺屐
ADV.DAT	0x203FC0	117	丕閲 | 撈撈撥覧覧送卵噌 | 撈撥尢尢覧覧寞 | 撈撥屁覧覧覧拗 | 撈撈屁屁尢理軌
ADV.DAT	0x2066A0	120	團囹囹囹囹閤 | 撈撕劔劔剳鰭 | 撈撈劔劔劔搆 | 撈撈劔劔劬 | 撈撈撈劑
ADV.DAT	0x208D20	118	ャヘャ乖 | 庶試試肇 | 冰さ | 沼胄 | 柱嵐陸
ADV.DAT	0x20B0A0	148	鋳鋳樗 | 堕蓴 | 涛剴劵 | 葬稚 | 蕘靆
ADV.DAT	0x20D460	126	雌梼事 | 消糂 | 剪劔劵 | 藷市 | 悦薗劵
ADV.DAT	0x20F7F0	180	鴦氿 | 橾鴣靏 | 演沺汢 | 浬裂 | 靕洄
ADV.DAT	0x211C90	179	靑鵄 | 囹嚠 | 鰛褪 | 鴆鶯 | 襃鴦
